id,regiao,categoria,taxa_classe1,taxa_classe2,taxa_classe3,taxa_classe4,taxa_classe5,taxa_classe6,taxa_classe_alvo,validade,segmento,atividade,sub_categoria,tipo,produto,marca,classe
93534,SUDESTE,categoria 3,0.8728796061713825,0.9079253386478237,0.9075207253233544,0.9019343541211616,0.8935411780055015,0.889112828115309,0.8882581894664069,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe2 
93534,SÃO PAULO CAPITAL,categoria 3,0.8429395843552903,0.8576888564937425,0.8513775098947906,0.8513775098947906,0.849246495081009,0.8636308685337442,0.8578681522949541,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe7 
93534,SÃO PAULO INTERIOR,categoria 3,0.8612989385773117,0.8904558252477606,0.8603038875684691,0.8674170032023627,0.8777886028010986,0.8706689632985845,0.8731838083416317,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe2 
114864,CENTRO NORTE,categoria 4,0.7451558862901768,0.6454638581941048,0.660627067879631,0.6871116399119326,0.7168888192455813,0.7147759798054723,0.7363329288904921,60,segmento 3,atividade 2,sub_categoria 4,tipo 2,produto 4,marca 1,classe1 
114864,NORDESTE,categoria 4,0.8450617659081108,0.8739424522894231,0.8265040546688843,0.8304754297338959,0.8788611089289313,0.8695033683712956,0.8611103034275731,60,segmento 3,atividade 2,sub_categoria 4,tipo 2,produto 4,marca 1,classe5 
114864,SUL,categoria 4,0.7206071139893651,0.7033913881831524,0.6764536306167919,0.6764536306167919,0.6752492791169449,0.6470939999601201,0.6999771579052966,60,segmento 3,atividade 2,sub_categoria 4,tipo 2,produto 4,marca 1,classe1 
114864,SÃO PAULO CAPITAL,categoria 4,0.8101245572001903,0.8215143653319379,0.7873007965466116,0.7857465399096663,0.8009884197429455,0.7416270140480863,0.7626722235030533,60,segmento 3,atividade 2,sub_categoria 4,tipo 2,produto 4,marca 1,classe2 
114864,SÃO PAULO INTERIOR,categoria 4,0.8457257260601021,0.8280535392980771,0.8120952483190259,0.8108735624442072,0.8112050882428197,0.8156425032647991,0.834941536492898,60,segmento 3,atividade 2,sub_categoria 4,tipo 2,produto 4,marca 1,classe1 
124692,CENTRO NORTE,categoria 5,0.5476161674971529,0.550454421139178,0.6202176638753221,0.6248635001328741,0.671419038059186,0.5462057797748728,0.644102546023892,120,segmento 1,atividade 1,sub_categoria 5,tipo 1,produto 5,marca 1,classe5 
124692,NORDESTE,categoria 5,0.7442041715494654,0.7226773560750575,0.7246839665051898,0.7369565124415136,0.7556281975796526,0.5785767628209697,0.6308415972620216,120,segmento 1,atividade 1,sub_categoria 5,tipo 1,produto 5,marca 1,classe5 
124692,SUDESTE,categoria 5,0.7925802035406909,0.812813781190266,0.806857884932162,0.8090054311224011,0.8736641123286731,0.6686292135333636,0.7750030936419582,120,segmento 1,atividade 1,sub_categoria 5,tipo 1,produto 5,marca 1,classe5 
124692,SUL,categoria 5,-17.092083333333335,-16.200833333333332,-15.175595238095234,-15.175595238095234,-16.091190476190455,-18.605734126984125,-19.593095238095213,120,segmento 1,atividade 1,sub_categoria 5,tipo 1,produto 5,marca 1,classe3 
124692,SUL,categoria 5,-17.092083333333335,-16.200833333333332,-15.175595238095234,-15.175595238095234,-16.091190476190455,-18.605734126984125,-19.593095238095213,120,segmento 1,atividade 1,sub_categoria 5,tipo 1,produto 5,marca 1,classe4 
124692,SÃO PAULO CAPITAL,categoria 5,0.7338221668094638,0.7386633104685649,0.7387884373679792,0.7387884373679792,0.7468560774526266,0.6024000916846053,0.7349748839686348,120,segmento 1,atividade 1,sub_categoria 5,tipo 1,produto 5,marca 1,classe5 
124692,SÃO PAULO INTERIOR,categoria 5,0.7623638602863584,0.8031675219656323,0.7519924578182099,0.7519924578182099,0.8195274750908061,0.5422320526064408,0.6620202828040476,120,segmento 1,atividade 1,sub_categoria 5,tipo 1,produto 5,marca 1,classe5 
133932,CENTRO NORTE,categoria 6,0.9347924990395527,0.9059098398343616,0.9129839737296276,0.9112676296875702,0.8906870343666325,0.8715620749336646,0.8773071130485911,60,segmento 4,atividade 3,sub_categoria 6,tipo 3,produto 6,marca 1,classe1 
133932,NORDESTE,categoria 6,0.7788797721154341,0.8211549398238678,0.8221271530484274,0.8063051600233837,0.7605150888668014,0.7669873833870149,0.7936134774491502,60,segmento 4,atividade 3,sub_categoria 6,tipo 3,produto 6,marca 1,classe3 
133932,SUDESTE,categoria 6,0.924848162404422,0.9073966478466744,0.9196961646605352,0.8908195119672224,0.8848173579660314,0.8902246349334616,0.8846737699800704,60,segmento 4,atividade 3,sub_categoria 6,tipo 3,produto 6,marca 1,classe1 
133932,SUL,categoria 6,0.8809722941103062,0.8453869750713027,0.860953811551038,0.8618339997714394,0.8343174560923429,0.798500260766315,0.7794240655630436,60,segmento 4,atividade 3,sub_categoria 6,tipo 3,produto 6,marca 1,classe1 
133932,SÃO PAULO CAPITAL,categoria 6,0.8906012272604896,0.9119699177628744,0.9048096618867608,0.901530706021054,0.8933383202761229,0.8918352689337606,0.8768825305374723,60,segmento 4,atividade 3,sub_categoria 6,tipo 3,produto 6,marca 1,classe2 
133932,SÃO PAULO INTERIOR,categoria 6,0.8878625425479776,0.9023146612467624,0.8671056197410467,0.8620018665252032,0.92552096197169,0.9339254496875309,0.9288586345766516,60,segmento 4,atividade 3,sub_categoria 6,tipo 3,produto 6,marca 1,classe7 
145920,CENTRO NORTE,categoria 7,0.7592120501094355,0.6882069771445014,0.7129473063397167,0.7186197567061732,0.6889276364459813,0.6494427929251805,0.6968821216749458,120,segmento 1,atividade 1,sub_categoria 7,tipo 1,produto 7,marca 1,classe1 
145920,SUDESTE,categoria 7,0.7678466315969699,0.7028692522553932,0.6937335103300145,0.7165044482883565,0.708647885441815,0.7068538765260934,0.7494667691535067,120,segmento 1,atividade 1,sub_categoria 7,tipo 1,produto 7,marca 1,classe1 
145920,SUL,categoria 7,0.6249046941828845,0.5614799536407759,0.5786505716104082,0.5786505716104082,0.6067226323423227,0.4775700559611584,0.5458897500856607,120,segmento 1,atividade 1,sub_categoria 7,tipo 1,produto 7,marca 1,classe1 
380547,NORDESTE,categoria 8,0.5088528579386846,0.5414159924829474,0.6152567812866305,0.6131511403193812,0.5914280631438186,0.5829675104996066,0.5780760537083713,120,segmento 3,atividade 2,sub_categoria 8,tipo 2,produto 8,marca 2,classe3 
380547,SÃO PAULO CAPITAL,categoria 8,0.6761522828198668,0.6669365920767214,0.6885268392972944,0.5937775280604275,0.5743437759450155,0.5747151188726325,0.6448619347012717,120,segmento 3,atividade 2,sub_categoria 8,tipo 2,produto 8,marca 2,classe3 
396030,CENTRO NORTE,categoria 9,0.6277840607553133,0.5702212774005833,0.6199801708365342,0.6384638918792409,0.6207809805849517,0.7504125174185297,0.7092682123223225,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe7 
396030,NORDESTE,categoria 9,0.5992590836091873,0.6774414719468987,0.6853530529343232,0.6834230752348138,0.6185447856261554,0.6069215732676566,0.5695917135116929,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe3 
396030,SUDESTE,categoria 9,0.7988264191112542,0.7207260042955659,0.6898622398541714,0.7032543554706365,0.790471227924692,0.7831744032437544,0.7844995176270009,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe1 
396030,SUL,categoria 9,0.6104275484397396,0.6437763460126914,0.6343540187952641,0.6351193591789518,0.6296456117671451,0.6053032806707248,0.6383694615300031,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe2 
396030,SÃO PAULO CAPITAL,categoria 9,0.6089560935595673,0.5490668509554242,0.5927024500141908,0.5902297127688092,0.6648969691791413,0.6610213319269833,0.6471270436017473,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe5 
396030,SÃO PAULO INTERIOR,categoria 9,0.5580176536298137,0.5010740260766322,0.3970599047090245,0.3970599047090245,0.4943087673403459,0.5373738634543089,0.5409937189596563,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe1 
396126,CENTRO NORTE,categoria 9,0.7811141082803836,0.6996942157357261,0.7111345843526342,0.7267239998276604,0.6680983532258146,0.7256082895481341,0.7719746912700092,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe1 
396126,NORDESTE,categoria 9,0.7109803617895174,0.7012936413565886,0.7348491519718203,0.732965621932129,0.7115079811028779,0.6946209760099727,0.6914875275668351,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe3 
396126,SUL,categoria 9,0.671385466182421,0.6893686122112526,0.6689554157828275,0.6695082668432923,0.6837702738717981,0.6585633326750082,0.6849364648857035,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe2 
396126,SÃO PAULO CAPITAL,categoria 9,0.5363819131336006,0.4926275876767964,0.5463072310763506,0.5450243154301501,0.5730810372091268,0.5605791312748729,0.534153277907139,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe5 
396126,SÃO PAULO INTERIOR,categoria 9,0.6019872751045066,0.4992504327569385,0.490173033718211,0.490173033718211,0.5907728624569547,0.621269520100179,0.617366075539105,120,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe7 
406011,CENTRO NORTE,categoria 10,0.8432977532150544,0.8546645454047225,0.8556636057693453,0.8570076672022773,0.802520237109005,0.7765048614017962,0.8144991775211897,90,segmento 4,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe4 
406011,NORDESTE,categoria 10,0.8275895583908441,0.7977137121849431,0.8300467386636043,0.8337187833029432,0.8100316890029304,0.7958866719037284,0.7961207786739659,90,segmento 4,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe4 
406011,SUDESTE,categoria 10,0.8649200392321054,0.8787224328541358,0.8708052452417068,0.8736066348811277,0.8620914208502896,0.8605527197111389,0.8565137329271043,90,segmento 4,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe2 
406011,SUL,categoria 10,0.8475657665481706,0.8537543430709923,0.8610244290556371,0.8610244290556371,0.8551318628820016,0.8457778606721504,0.8462572355636346,90,segmento 4,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe3 
406011,SUL,categoria 10,0.8475657665481706,0.8537543430709923,0.8610244290556371,0.8610244290556371,0.8551318628820016,0.8457778606721504,0.8462572355636346,90,segmento 4,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe4 
406011,SÃO PAULO CAPITAL,categoria 10,0.8957815923103559,0.9110649265965808,0.8454702285813558,0.8440347090273579,0.8716198694895542,0.8481161026903834,0.8483872716615392,90,segmento 4,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe2 
406011,SÃO PAULO INTERIOR,categoria 10,0.8954800222151651,0.8369334152986199,0.8178003742374094,0.8178003742374094,0.8639911607060341,0.8625486653962832,0.8632197655607221,90,segmento 4,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe1 
406341,NORDESTE,categoria 10,0.7716186530478917,0.799950443380367,0.8147371587006925,0.8106189956418857,0.824355277939337,0.8296842876833476,0.8280824775122896,90,segmento 1,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe7 
406341,SUDESTE,categoria 10,0.7244615694628359,0.598589095514998,0.5329092290863034,0.5361882434221892,0.5252973688755829,0.531086395301975,0.5311188324025562,90,segmento 1,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe1 
406341,SUL,categoria 10,0.8727417854036735,0.8687125319676557,0.8548425558605484,0.8548425558605484,0.8357649831715148,0.8313954419215189,0.829322579915098,90,segmento 1,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe1 
406341,SÃO PAULO CAPITAL,categoria 10,0.7612482595942502,0.8160635736331401,0.7564118615640293,0.7580133450253881,0.7694938042321157,0.7805455339158941,0.7934298821348984,90,segmento 1,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe2 
406341,SÃO PAULO INTERIOR,categoria 10,0.7816688053857251,0.7482338806072681,0.7052329600879302,0.7052329600879302,0.7555543587277599,0.7572541732499829,0.7575737171120425,90,segmento 1,atividade 2,sub_categoria 10,tipo 2,produto 10,marca 1,classe1 
424062,SÃO PAULO INTERIOR,categoria 11,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.054664480077745485,180,segmento 1,atividade 1,sub_categoria 11,tipo 1,produto 11,marca 1,classe1 
424062,SÃO PAULO INTERIOR,categoria 11,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.054664480077745485,180,segmento 1,atividade 1,sub_categoria 11,tipo 1,produto 11,marca 1,classe7 
424062,SÃO PAULO INTERIOR,categoria 11,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.054664480077745485,180,segmento 1,atividade 1,sub_categoria 11,tipo 1,produto 11,marca 1,classe5 
424062,SÃO PAULO INTERIOR,categoria 11,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.054664480077745485,180,segmento 1,atividade 1,sub_categoria 11,tipo 1,produto 11,marca 1,classe3 
424062,SÃO PAULO INTERIOR,categoria 11,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.054664480077745485,180,segmento 1,atividade 1,sub_categoria 11,tipo 1,produto 11,marca 1,classe4 
424062,SÃO PAULO INTERIOR,categoria 11,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.05466472303207015,0.054664480077745485,180,segmento 1,atividade 1,sub_categoria 11,tipo 1,produto 11,marca 1,classe2 
425094,CENTRO NORTE,categoria 9,0.8616071931693468,0.7882480921612243,0.8175823627550156,0.8071446264553643,0.8129428396342102,0.8015336417583242,0.7482398275431812,180,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe1 
425094,NORDESTE,categoria 9,0.8322531695630622,0.8260440905897615,0.8473917811145452,0.8301232489035022,0.8298119545229931,0.8091583058678546,0.7762822654316015,180,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe3 
425094,SUDESTE,categoria 9,0.8917364874640659,0.7915121207985669,0.8192019958166888,0.8417071113502764,0.8852704515434112,0.8518808042194888,0.8093162518951916,180,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe1 
425094,SUL,categoria 9,0.8607262992190564,0.8331137458230177,0.7624791837889118,0.7624791837889118,0.7921830291915255,0.8242848925991313,0.8196576163974456,180,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe1 
425094,SÃO PAULO INTERIOR,categoria 9,0.7211900353280243,0.7074268260559671,0.7030557255673664,0.7030557255673664,0.7720130646544155,0.7862880525168635,0.7603556883799727,180,segmento 1,atividade 1,sub_categoria 9,tipo 1,produto 9,marca 1,classe7 
430551,CENTRO NORTE,categoria 5,0.29171420277657645,0.2957759101022024,0.27756032605095704,0.2819984258534096,0.2675030294529069,0.3653949783165213,0.35185030411421225,120,segmento 1,atividade 1,sub_categoria 12,tipo 1,produto 12,marca 2,classe7 
430551,NORDESTE,categoria 5,0.7089235128294038,0.7138179994299376,0.6724813463333411,0.6515886698429934,0.6273879433123772,0.5922295402522734,0.6917530221840955,120,segmento 1,atividade 1,sub_categoria 12,tipo 1,produto 12,marca 2,classe2 
430551,SUDESTE,categoria 5,0.4507019362104174,0.5170515359733852,0.4369891921863109,0.420349572715772,0.3265298570309797,0.2916820036562892,0.4026651016175451,120,segmento 1,atividade 1,sub_categoria 12,tipo 1,produto 12,marca 2,classe2 
430551,SÃO PAULO INTERIOR,categoria 5,0.690903843221603,0.6919342315018178,0.7346030536179049,0.7346030536179049,0.7283530866310373,0.6274810557441266,0.7272043264634326,120,segmento 1,atividade 1,sub_categoria 12,tipo 1,produto 12,marca 2,classe3 
430551,SÃO PAULO INTERIOR,categoria 5,0.690903843221603,0.6919342315018178,0.7346030536179049,0.7346030536179049,0.7283530866310373,0.6274810557441266,0.7272043264634326,120,segmento 1,atividade 1,sub_categoria 12,tipo 1,produto 12,marca 2,classe4 
431202,CENTRO NORTE,categoria 12,0.8406576967818423,0.8616829894918812,0.8321490084872104,0.831924099744558,0.8367938453886108,0.836688657102412,0.8353380887605206,180,segmento 5,atividade 4,sub_categoria 13,tipo 4,produto 13,marca 3,classe2 
431202,NORDESTE,categoria 12,0.8028423108707081,0.8406470963864471,0.7837840257431197,0.7840465529762354,0.7798705832269053,0.7799810432474391,0.7075474294443189,180,segmento 5,atividade 4,sub_categoria 13,tipo 4,produto 13,marca 3,classe2 
431202,SUDESTE,categoria 12,0.7624557699658283,0.7878194223511076,0.8054421309700648,0.8089135449258313,0.8138096125280093,0.8696380573529042,0.8692299357532118,180,segmento 5,atividade 4,sub_categoria 13,tipo 4,produto 13,marca 3,classe7 
431202,SUL,categoria 12,0.7613376976520354,0.7770697368953164,0.7755541600951159,0.7755541600951159,0.7001397115796795,0.7403428707770203,0.7489721770638715,180,segmento 5,atividade 4,sub_categoria 13,tipo 4,produto 13,marca 3,classe2 
431202,SÃO PAULO CAPITAL,categoria 12,0.8085990772448328,0.8056220246140129,0.8044212360347167,0.8110087070151945,0.8013602920770849,0.7981639921595158,0.7668911430023372,180,segmento 5,atividade 4,sub_categoria 13,tipo 4,produto 13,marca 3,classe4 
431202,SÃO PAULO INTERIOR,categoria 12,0.8247201447929068,0.8647115350527046,0.8515953848593857,0.8406665858115216,0.8288715802605047,0.8031677713167704,0.8031639462464331,180,segmento 5,atividade 4,sub_categoria 13,tipo 4,produto 13,marca 3,classe2 
431241,NORDESTE,categoria 7,0.7475243564936407,0.7349019583445524,0.7196659625516195,0.7157691797440011,0.5959816503560027,0.588032087134948,0.7050505128133809,120,segmento 1,atividade 1,sub_categoria 14,tipo 1,produto 14,marca 2,classe1 
431241,SUL,categoria 7,0.8035067691386482,0.7623904143417649,0.7632690985569606,0.7632690985569606,0.7717277087391592,0.6857293829153619,0.7833634074134964,120,segmento 1,atividade 1,sub_categoria 14,tipo 1,produto 14,marca 2,classe1 
431403,NORDESTE,categoria 7,0.4918924603949838,0.4643200699636802,0.4669538090412211,0.470010536732319,0.2389970651440332,0.3601127655134435,0.408139597966912,120,segmento 1,atividade 1,sub_categoria 14,tipo 1,produto 14,marca 2,classe1 
431403,SUDESTE,categoria 7,0.6117872311630892,0.5601983063301224,0.5733507360541037,0.5605917343241911,0.5542204683241556,0.7337513945550638,0.689174087838632,120,segmento 1,atividade 1,sub_categoria 14,tipo 1,produto 14,marca 2,classe7 
431403,SUL,categoria 7,0.6938384069887983,0.5923782239753159,0.5768828422569264,0.5768828422569264,0.5690105260359503,0.539855509752239,0.5632917712856351,120,segmento 1,atividade 1,sub_categoria 14,tipo 1,produto 14,marca 2,classe1 
431403,SÃO PAULO CAPITAL,categoria 7,0.6162166380357232,0.5751775770853188,0.5808978254066299,0.5806017005920828,0.5767180848769113,0.6922837397080461,0.6854687898807831,120,segmento 1,atividade 1,sub_categoria 14,tipo 1,produto 14,marca 2,classe7 
433080,CENTRO NORTE,categoria 7,0.7309218074321537,0.7121161742041828,0.6472730770434942,0.6714987825095854,0.24970794155671205,0.2540636890798009,0.6917332945268329,120,segmento 1,atividade 1,sub_categoria 15,tipo 1,produto 15,marca 2,classe1 
433080,NORDESTE,categoria 7,0.4199055769212302,0.367350293237884,0.3829146958932293,0.3982205423760551,0.2824635223115265,0.4519705558796416,0.3127964224798108,120,segmento 1,atividade 1,sub_categoria 15,tipo 1,produto 15,marca 2,classe7 
433080,SUDESTE,categoria 7,0.7168568482553201,0.6856368669931516,0.6850474907281041,0.6867605961955063,0.6703621980556861,0.6113406584404419,0.6577703893159088,120,segmento 1,atividade 1,sub_categoria 15,tipo 1,produto 15,marca 2,classe1 
433080,SUL,categoria 7,0.3041710435759054,0.3548451856036897,0.3155681388919346,0.3155681388919346,0.22967412744461999,0.2985990989486487,0.20723510741441095,120,segmento 1,atividade 1,sub_categoria 15,tipo 1,produto 15,marca 2,classe2 
433080,SÃO PAULO INTERIOR,categoria 7,0.3151315115980741,0.27994017778559344,0.25098582459994656,0.25098582459994656,0.2512971054938783,0.15773713949292,0.2207336491115397,120,segmento 1,atividade 1,sub_categoria 15,tipo 1,produto 15,marca 2,classe1 
557601,SÃO PAULO CAPITAL,categoria 13,0.4298318860877685,0.6242582166199813,0.6390054971988797,0.6390054971988797,0.6390054971988797,0.7630343137254902,0.6480715452847807,365,segmento 2,atividade 3,sub_categoria 16,tipo 3,produto 16,marca 1,classe7 
578346,CENTRO NORTE,categoria 14,0.8934417344967759,0.8206641659280589,0.8311049414391223,0.8360569496328152,0.8340054628747029,0.8412599383821748,0.8415846923092478,180,segmento 5,atividade 4,sub_categoria 17,tipo 4,produto 17,marca 4,classe1 
578346,NORDESTE,categoria 14,0.9232314217918834,0.8956466878934187,0.7914098987949152,0.7910719001680628,0.8159013080790927,0.8133869825850959,0.8237440261516689,180,segmento 5,atividade 4,sub_categoria 17,tipo 4,produto 17,marca 4,classe1 
578346,SUDESTE,categoria 14,0.8393135569028674,0.8102246231927048,0.8130152887237048,0.8186561668957983,0.8049150843237128,0.8109295961743839,0.7777570286242388,180,segmento 5,atividade 4,sub_categoria 17,tipo 4,produto 17,marca 4,classe1 
578346,SUL,categoria 14,0.8064286858505294,0.8646367273466558,0.8484354985056771,0.8703959033096591,0.8653765384244191,0.8576650791302708,0.8649774281356644,180,segmento 5,atividade 4,sub_categoria 17,tipo 4,produto 17,marca 4,classe4 
578346,SÃO PAULO INTERIOR,categoria 14,0.8647035851540777,0.8220311889839894,0.8287221212179409,0.8287221212179409,0.8571712428007776,0.7153695988494051,0.7135495479347114,180,segmento 5,atividade 4,sub_categoria 17,tipo 4,produto 17,marca 4,classe1 
578799,CENTRO NORTE,categoria 12,0.4959243829325185,0.5942738787321478,0.7392906247997659,0.7179404899826654,0.7229708892040683,0.7229942194029256,0.7301303145385998,180,segmento 5,atividade 4,sub_categoria 18,tipo 4,produto 18,marca 3,classe3 
578799,SUDESTE,categoria 12,0.4761792680223978,0.6505916826136561,0.6926981771706948,0.6852667947887623,0.6996771633647271,0.7356908421304085,0.6612430485067321,180,segmento 5,atividade 4,sub_categoria 18,tipo 4,produto 18,marca 3,classe7 
578799,SUL,categoria 12,0.7548518512767157,0.7675463841483299,0.7715249675191909,0.7718163811978821,0.6136931508196553,0.6884200713283746,0.7547761942844127,180,segmento 5,atividade 4,sub_categoria 18,tipo 4,produto 18,marca 3,classe4 
578799,SÃO PAULO INTERIOR,categoria 12,0.20340416392129512,0.3645905821910438,0.3897819873476055,0.3897819873476055,0.4258200715734535,0.4258198110323029,0.4209635565374298,180,segmento 5,atividade 4,sub_categoria 18,tipo 4,produto 18,marca 3,classe5 
578904,CENTRO NORTE,categoria 15,0.8657798734201639,0.8779303951695877,0.8754602053624088,0.8784354796908561,0.8902411462165543,0.8771575661879466,0.8855284147588522,180,segmento 5,atividade 4,sub_categoria 19,tipo 4,produto 19,marca 5,classe5 
578904,NORDESTE,categoria 15,0.8585917941768892,0.8653688123916491,0.8677284069140062,0.8714843680895015,0.8737194892811057,0.8813227046825891,0.8751768397051563,180,segmento 5,atividade 4,sub_categoria 19,tipo 4,produto 19,marca 5,classe7 
578904,SUDESTE,categoria 15,-0.5562156765471921,-0.5619207491008318,-0.5468018107404216,-0.5468018107404216,-0.4343313903013775,-1.1472830212079903,-0.5873884410269157,180,segmento 5,atividade 4,sub_categoria 19,tipo 4,produto 19,marca 5,classe5 
580788,CENTRO NORTE,categoria 16,0.8123902894772741,0.7251739837826695,0.7379415136000163,0.7416212364558219,0.4524725681607588,0.5311475088986229,0.7224243645131763,80,segmento 1,atividade 3,sub_categoria 20,tipo 3,produto 20,marca 1,classe1 
580788,NORDESTE,categoria 16,0.7724128001730732,0.7718304527859029,0.8211636851294632,0.8164554440529679,0.7828601138160305,0.7545194390015576,0.7539417112517298,80,segmento 1,atividade 3,sub_categoria 20,tipo 3,produto 20,marca 1,classe3 
580788,SUDESTE,categoria 16,0.7672662523657079,0.7412362308175278,0.7668686170447094,0.7698419617954987,0.7666550803673767,0.7198149977137362,0.7194903008643994,80,segmento 1,atividade 3,sub_categoria 20,tipo 3,produto 20,marca 1,classe4 
580788,SUL,categoria 16,0.7132371328084319,0.7286307943907618,0.7573952849603295,0.7573952849603295,0.7613216666684303,0.7395378531489163,0.7070726837756132,80,segmento 1,atividade 3,sub_categoria 20,tipo 3,produto 20,marca 1,classe5 
